alert_id,cve_id
AA20-183A,T1079
AA20-183A,T1043
AA20-183A,T1250
AA20-183A,T1188
AA20-183A,T1094
AA20-183A,T1253
AA20-183A,T1499
AA20-107A,T1078
AA20-107A,T1090
AA20-107A,T1486
AA20-107A,T1003
AA20-107A,T1021
AA20-107A,T1133
AA20-049A,T1486
AA20-049A,T1192
